"venue","year","identifier","heading","title","authors","page_range","length","electronic_edition","is_full_paper"
"ICSE",2019,"conf/icse/icse2019","Test selection and prioritization","A framework for checking regression test selection tools.","Chenguang Zhu; Owolabi Legunsen; August Shi; Milos Gligoric","430-441",12,"https://doi.org/10.1109/ICSE.2019.00056",TRUE
"FSE",2019,"conf/sigsoft/fse2019","Main Research","Target-driven compositional concolic testing with function summary refinement for effective bug detection.","Yunho Kim; Shin Hong; Moonzoo Kim","16-26",11,"https://doi.org/10.1145/3338906.3338934",TRUE
"TSE",2019,"journals/tse/tse45","Volume 45, Number 1, January 2019","A Rigorous Framework for Specification, Analysis and Enforcement of Access Control Policies.","Andrea Margheri; Massimiliano Masi; Rosario Pugliese; Francesco Tiezzi","2-33",32,"https://doi.org/10.1109/TSE.2017.2765640",TRUE
"ICSE",2019,"conf/icse/icse2019","Studying developers","Distilling neural representations of data structure manipulation using fMRI and fNIRS.","Yu Huang; Xinyu Liu; Ryan Krueger; Tyler Santander; Xiaosu Hu; Kevin Leach; Westley Weimer","396-407",12,"https://doi.org/10.1109/ICSE.2019.00053",TRUE
"TOSEM",2019,"journals/tosem/tosem28","Volume 28, Number 1, February 2019","An Active Learning Approach for Improving the Accuracy of Automated Domain Model Extraction.","Chetan Arora; Mehrdad Sabetzadeh; Shiva Nejati; Lionel C. Briand","4:1-4:34",34,"https://doi.org/10.1145/3293454",TRUE
"FSE",2019,"conf/sigsoft/fse2019","Main Research","Model-based testing of breaking changes in Node.js libraries.","Anders Møller; Martin Toldam Torp","409-419",11,"https://doi.org/10.1145/3338906.3338940",TRUE
"TOSEM",2019,"journals/tosem/tosem28","Volume 28, Number 1, February 2019","RESTful API Automated Test Case Generation with EvoMaster.","Andrea Arcuri","3:1-3:37",37,"https://doi.org/10.1145/3293455",TRUE
"TOSEM",2019,"journals/tosem/tosem28","Volume 28, Number 2, April 2019","Runtime Fault Detection in Programmed Molecular Systems.","Samuel J. Ellis; Titus H. Klinge; James I. Lathrop; Jack H. Lutz; Robyn R. Lutz; Andrew S. Miner; Hugh D. Potter","6:1-6:20",20,"https://doi.org/10.1145/3295740",TRUE
"FSE",2019,"conf/sigsoft/fse2019","Main Research","Concolic testing with adaptively changing search heuristics.","Sooyoung Cha; Hakjoo Oh","235-245",11,"https://doi.org/10.1145/3338906.3338964",TRUE
"TSE",2019,"journals/tse/tse45","Volume 45, Number 3, March 2019","Developer Testing in the IDE: Patterns, Beliefs, and Behavior.","Moritz Beller; Georgios Gousios; Annibale Panichella; Sebastian Proksch; Sven Amann; Andy Zaidman","261-284",24,"https://doi.org/10.1109/TSE.2017.2776152",TRUE
"TSE",2019,"journals/tse/tse45","Volume 45, Number 9, September 2019","How Developers Diagnose Potential Security Vulnerabilities with a Static Analysis Tool.","Justin Smith; Brittany Johnson; Emerson R. Murphy-Hill; Bill Chu; Heather Richter Lipford","877-897",21,"https://doi.org/10.1109/TSE.2018.2810116",TRUE
"ICSE",2019,"conf/icse/icse2019","Analysis and verification","Towards understanding and reasoning about Android interoperations.","Sora Bae; Sungho Lee; Sukyoung Ryu","223-233",11,"https://doi.org/10.1109/ICSE.2019.00038",TRUE
"ICSE",2019,"conf/icse/icse2019","Security 2","The seven sins: security smells in infrastructure as code scripts.","Akond Rahman; Chris Parnin; Laurie A. Williams","164-175",12,"https://doi.org/10.1109/ICSE.2019.00033",TRUE
"FSE",2019,"conf/sigsoft/fse2019","Main Research","Assessing the quality of the steps to reproduce in bug reports.","Oscar Chaparro; Carlos Bernal-Cárdenas; Jing Lu; Kevin Moran; Andrian Marcus; Massimiliano Di Penta; Denys Poshyvanyk; Vincent Ng","86-96",11,"https://doi.org/10.1145/3338906.3338947",TRUE
"TOSEM",2019,"journals/tosem/tosem28","Volume 28, Number 3, August 2019","Theoretical and Practical Aspects of Linking Operational and Algebraic Semantics for MDESL.","Feng Sheng; Huibiao Zhu; Jifeng He; Zongyuan Yang; Jonathan P. Bowen","14:1-14:46",46,"https://doi.org/10.1145/3295699",TRUE
"ICSE",2019,"conf/icse/icse2019","Crowdsourced knowledge and feedback","Pattern-based mining of opinions in Q&A websites.","Bin Lin; Fiorella Zampetti; Gabriele Bavota; Massimiliano Di Penta; Michele Lanza","548-559",12,"https://doi.org/10.1109/ICSE.2019.00066",TRUE
"FSE",2019,"conf/sigsoft/fse2019","Main Research","Detecting concurrency memory corruption vulnerabilities.","Yan Cai; Biyun Zhu; Ruijie Meng; Hao Yun; Liang He; Purui Su; Bin Liang","706-717",12,"https://doi.org/10.1145/3338906.3338927",TRUE
"TSE",2019,"journals/tse/tse45","Volume 45, Number 8, August 2019","Verification Templates for the Analysis of User Interface Software Design.","Michael D. Harrison; Paolo Masci; José Creissac Campos","802-822",21,"https://doi.org/10.1109/TSE.2018.2804939",TRUE
"TOSEM",2019,"journals/tosem/tosem28","Volume 28, Number 4, October 2019","Automated Reuse of Model Transformations through Typing Requirements Models.","Juan de Lara; Esther Guerra; Davide Di Ruscio; Juri Di Rocco; Jesús Sánchez Cuadrado; Ludovico Iovino; Alfonso Pierantonio","21:1-21:62",62,"https://doi.org/10.1145/3340108",TRUE
"TSE",2019,"journals/tse/tse45","Volume 45, Number 7, July 2019","Design Rule Spaces: A New Model for Representing and Analyzing Software Architecture.","Yuanfang Cai; Lu Xiao; Rick Kazman; Ran Mo; Qiong Feng","657-682",26,"https://doi.org/10.1109/TSE.2018.2797899",TRUE
